document_id,clean_text,sentiment
1,"Whether it be orgies, showcasing various bodily fluids, plot threads, or the runtime of the film, Damien Chazelle is fully unrestrained in his latest film. La La Land and Whiplash are some of my favorite films and I'm a big fan of Chazelle's directorial style. He shows flashes of that brilliance often throughout Babylon, but does indulge in his most extreme tendencies as well in this modern Hollywood epic.There is a lot I liked here. The opening sequence is a sight to behold and had me mesmerized with its vibrant energy. The film chugs along at a good pace for the next two hours to the point I really didn't feel the runtime for most of it. It's the last hour or so where Chazelle loses the story a bit. There were several instances where I thought the film was over, but another scene would pop up next. The runtime really feels unnecessary and there's honestly whole plot lines that could be cut out that wouldn't affect the film.Justin Hurwitz has composed another terrific score (with some nice hints of La La Land) and the photography, costumes, and production design are all stellar. Outside of some shoddy editing, especially a bizarre movie montage at the end that really did not gel, the technical aspects of the film are quite an achievement.Chazelle really needed someone to tell him no with this film. Some better editing combined with some self-restraint and this would be much closer to the epic masterpiece status he's clearly aiming for. As it stands, it's a pretty entertaining tale of excess and fame in early years of Hollywood.",positive
2,"This film felt like it was written and directed by a high school drama class kid with ADHD. It was exhausting to watch, and it was all over the place with too much filler, too many unnecessary sub-plots, convoluted scenes and dialogue, with horrible editing and scene start and cuts. In the hands of better more experienced filmmaker, this could've very easily been so much better and more enjoyable. Writer and director Damien Chazelle gave us a hack-job screenplay with overzealous and pointlessly outlandish scenes, that are all style with very little substance. The all star stellar cast were all amazing, especially Margot Robbie - who was the only reason I didn't stop watching 40+ mins into this utter disastrous nonsense. The critics got this one right. It's a very generous 6/10 from me, all going to the performances and decent cinematography.",positive
3,"In the opening scene of BABYLON an elephant on a pick-up empties its bowels over one of its handlers. This, I'm sorry to say, sets the tone for much of what follows. This is a long movie - three hours, much of which is crap.Writer/director Damien Chazelle, who gave us LA LA LAND a few years ago, turns the clock back to the 1920s when ""Hollywoodland"" was transitioning from silent pictures to sound. Brad Pitt and Margot Robbie play two leading actors who flounder during this period of adjustment, cast in a series of tawdry flops. Diego Calva and Jovan Adepo play a Mexican production assistant and a jazz trumpeter whose careers briefly flare. All four stars make the best of their roles despite the chaotic screenplay. Robbie's damaged character, a stock favorite, fueled by addiction to cocaine and gambling, is overdone and risks losing the viewer's sympathy.Orgiastic parties and a weird scene in a mountain torture palace presided over by Tobey Maguire in overdrive bring echoes of historic Babylon and some of the weirder extremes of early Hollywood. And there are many references to SINGING IN THE RAIN, that gem of a film set in the same era as this mash-up - one of the all-time greatest movies. With its messy script, erratic direction and uneven editing, BABYLON is in an altogether different league. I can't think of a picture I've hated as much as this. Sorry!",positive
4,"So many reviews praise this film for the level of ""debauchery"" shown in it or the devotion the actors gave to said debauchery. But just because you have the willingness to fill your film with an over excess of sex, drugs, violence, and human bodily fluids doesn't mean you have a good film. This movie feels like it goes on forever and has endless character who serve no real purpose to progressing the story. At the core there is a decent plot but it falls apart and some of the scenes feel like they were written by a teenage boy imagining what his ideal ""fantasy"" would play out like. This movie will easily become a cult classic just for how vulgar it is.",positive
5,"1. It is a hig-enrgy assault on the senses. There is always something happening visually, loud music or loud screaming or loud animals aor something happening. It is over-the-top, bombastic and rarely boring.The problem? Rollercoasters are fun, but they are fun because they last about five minutes. Would you want to ride a rollercoaster for an hour or two hours....no you would not. And that is the problem with this movie. It is throwing so much at you and it does not let up long enough for you to digest the last scene. If there was a cohesive story, I missed it. If there was character development, it got lost with the direction and editing.If you are just looking for soemthing to watch and get lost in, then this works. Otherwise it is less of a movie and more of a collection of wild scenes with famous actors just slammed together.",positive
6,"After an ""interesting"" opening scene about our main character Manny (Diego Calva) trying to get an elephant up to a party in Bel-Air, Babylon floors the gas pedal and barely comes up for air for the rest of the run time. I wanted to credit Damien Chazelle and his team for providing a unique experience in regards to pacing, setting and tone. The expression ""fever dream"" is overused but Babylon is captured in such a chaotic and constantly shifting way that kept me enraptured. The movie looks fantastic and even if you don't have an interest in this period of cinema, I don't doubt that Babylon will still pull you in. The costuming and sets are dynamic and show how disorganized and tumultuous early Hollywood was. I was hooked from the get-go and for all the movie's flaws, its presentation is vibrant and fast-moving to keep help you entertained.While Babylon is distinctive with its look and pacing, when it comes to the characters, things are a little more familiar. Conrad and LaRoy are loosely based on a couple of people from that era but the lessons the movie wants to teach us about Hollywood chewing up and spitting out talent are pretty routine. I think Babylon is effective at getting those across but I was a little let down that the movie starts so bombastically and then quietly tip toes into conventionality by the end. Some characters are meant to be less distinctive (Manny is the audience avatar for example) but while I wish they were a little more fresh, I did want to follow them throughout the length of the movie.Damien Chazelle has enough of a name now that he could probably get any actor/actress he wanted in his cast. He still attracted some big and interesting names for Babylon. I think every member of the main cast did a fantastic job and it's a credit to them and Chazelle for getting the most out of his performers. Brad Pitt's the biggest name and I really enjoyed the work he put in as Jack Conrad. He's appropriately funny in Conrad's lush and over-the-top behaviour but he garners some genuine sympathy for him when the world turns against him. Pitt could have played it so big that he came off as an entitled prick but there's some warmth and passion to Conrad and Pitt gets that across. I've always liked Margot Robbie and she's on point here as Nellie. She throws herself into it completely, there's a surprising amount of physicality and nuance in Nellie's whirlwind behaviour. Much like Pitt, she's really funny when she is given the opportunity to be. Despite the pretty telegraphed arc for her character, you understand why Manny can't resist Nellie even when it's crystal clear she's bad news wrapped in pretty packaging. I would hope that Pitt and Robbie both get awards consideration for their work here. Diego represents the audience, he's witnessing all the craziness and has to go along with it. He's a pretty blank slate but there's enough from Diego that his character is distinct and you understand his motivations. I want to credit Li Jun Li and Jovan Adepo as Lady Fay Zhu and Sidney Palmer respectively. Their characters are written with a heavy hand but both are sympathetic and have their respective moments. The oddest casting is Tobey Maguire as threatening mobster James McKay but Maguire's surprisingly good at being a creepy underworld figure.Getting to the negatives, Babylon is a movie that indulges in the exact same vices that it's lambasting. As a film, Babylon's determined to show all excess and hedonism of the era in all its ""glory."" I appreciated some of this but there are moments where the movie gets pretty gross (there's an early scene involving a elephant that is going to shock people) and while I get what Chazelle and his team are trying to show, was it really necessary? I'd argue not. Babylon's lengthy run time is also going to drive some people away but it also has an affect on how the story twists and turns. Characters that started out with more depth gradually turn more generic (Nellie specifically comes to mind) and you could have easily trimmed some of the fat off this movie. The total length of Babylon feels a little self-indulgent and while the previously mentioned frenetic pace keeps you guessing, it saps some of the ending's impact. I got what the movie was trying to say with its wrap-up but I can't deny I was bouncing in my seat in anticipation of getting to leave.Just like the lavish and insane partying that Babylon presents, you have to choose to take the hit of whatever your poison of choice is and dive in headfirst or not to indulge and slip out the back. Babylon is going to be an incredibly polarizing film and while I enjoyed large parts of this movie, there were also many scenes that fell flat for me. I'd grade Babylon somewhere between a 7 and an 8 but I'm rounding up because there are moments where Babylon has some real cinematic magic. I'm not comfortable wholesale recommending Babylon, if you're interested in a Wolf of Wall Street style comedy about the excess of Hollywood in the 1920s that gets pretty dark, check it out.",positive
7,"As ""Babylon"" (2-22 release; 189 min) opens, we are in ""Bel Air, California 1926"", and find ourselves at a massive and out-of-hand party, where sex and drugs are ""de rigueur"". Jack Conrad, a big movie star, becomes the center of the party upon his arrival. Also there is Nellie LaRoy, a beautiful and brash aspiring actress. Also there is Manuel Torres, who hopes to find a job in the movie industry. At this point we are 10 minutes into the film.Couple of comments: this is the latest from writer-producer=director Damien Chazelle. Let me admit up front that I absolutely LOVED all three of his prior movies (""Whiplash"", ""La La Land"", and ""First Man""). Hence I went into this film with high expectations. Alas, I shouldn't have. ""Babylon"" certainly is well done from a technical perspective (photography, editing, musical score), but it misfires badly from a substantive perspective. The storyline is supposed to show us how Hollywood's transition from silent films into talkies was a success for some and a disaster for others. But what we get to see here is a self-indulgent, unfocused, and over-long movie, torpedoed by its weak script. (Can someone please tell me what the point of the snake fight scene was? Or of the freak show towards the end of the film? And that's just naming those two). The all-star cast certainly gives its best shot with the weak material that they are given, but in the end this film cannot be saved. This is 3+ hours of my live I'm never getting back.""Babylon"" was supposed to be released a year ago, but COVID had other ideas. It was just released in US theaters this past weekend, and vastly underperformed at the box office. Let's just say it as it is: it tanked. The Tuesday early evening screening where I saw this at my local arthouse theater here in Cincinnati was attended okay (I counted about 10 people). I cannot imagine that Babylon will have long legs at the box office, or that it will pick up a bunch of Oscar nominations. For that the movie is simply too weak, too long and over-indulgent for its own good. Of course don't take my word for it, so if you liked Chazelle's earlier films, I'd suggest you check this out (albeit with low expectations), and draw your own expectation.",positive
8,"My main takeaway when I left the theater this evening after watching this film, was that it was far too long and had probably one storyline too many to make this movie fly, but instead after the first act, it drags, and drags, and drags.The funny thing is, the best moments of this film are within the first hour. The less cohesive and more chaotic the film was, the more exciting it felt. After that point though, the film falls apart, the plotlines stray and the film has maybe 50% of the crazy energy that the first third had. It attempts to try and regain that energy in the finale, but doesn't quite capture what came before it. It turns from debauchery to horror, and it didn't gel well for me. Felt like the tone contradicted itself from where it began.The acting on the other hand is fantastic. Robbie and Pitt are electric, and the way Diego Calva can emote without saying anything is brilliant. I just wished the script and direction from La La Land writer/director Damien Chazelle was as good as the acting. Sometimes, the film felt like I was watching four films at the same time. Each of these plotlines could have had their own movies and seeing them all jumbled together here felt self indulgent and exhausting by the end of it. Only one of the storylines have any sort of ending that makes it feel justified in it's telling. Afterward, when the credits start to roll, you're just sat there with no feeling for what you just witnessed for a little over three hours.Overall, I only recommend for people who don't mind the three hour runtime, but keep in mind that the films plot goes absolutely nowhere, and although it might be a fun trip at times, it is a rather pointless one.2 talking pictures out of 5.",positive
9,"It's 1926 Hollywood. The silent movie era is having a party of epic debauchery. Manny Torres (Diego Calva) is the 'Mexican' fixer servant doing all the dirty jobs. Jack Conrad (Brad Pitt) is the big movie star. Nellie LaRoy (Margot Robbie) is the flamboyant nobody who fakes it until she makes it. She makes it and then the silent era ends. Everybody works to master the new sound era.This is not an appealing start. I don't know what's happening with every Oscar bait movie which insists on an overly broad comedic scene with bodily functions. The elephant is completely overboard. I wouldn't open with that scene. It's an indication of what's to come. This movie is desperately trying too hard.I guess we're supposed to root for Margot Robbie, but I don't. I find her abrasive and not always appealing. She does find her tragic heartbreaks and that helps her character. This would work better if it concentrated more on Brad Pitt's character. He has some of best heart-felt scenes during his climax. Manny Torres is probably the other main character with a big character arc. I like the character, but the performance is too stoic. I need a different performance from him.Besides Brad Pitt's character arc, I love the general premise of redoing ""Singin' in the Rain"". It's a great premise that needs a little foreshadowing and less outrageousness. It could be a simple modern day revival with admiring fans watching ""Singin' in the Rain"" to open this movie. Damien Chazelle is just trying too hard. It hits a few false notes and the whole enterprise stumbles. It always gets back up with some very compelling scenes. For example, the first sound shot is fun. I don't like how it ends. Damien keeps pushing the comedy one step too far. I do appreciate the overall premise and the ambition of the work.",positive
10,"Babylon is a long, messy, repulsive, and magnetic spectacle. Unfortunately despite the great performances and set pieces it doesn't live up to Chazelle's previous work.The movie wants to bring you down into the waste yard that is Hollywood then pull you out to see the beauty that grows out of the trash. The problem is the movie spends so much time in the mud, and goes so deep into it that by the time it tries to pull you out at the end it's too late.On the upside the cast are great and almost completely carry the movie, especially Margot Robbie's enthralling performance as Nellie. And as with Chazelle's previous work the set pieces are well executed and (some) characters are memorable.However, these positives could not completely overcome the movie's fundamental flaws which are -- going too far with trying to revolt the audience (to the point of childishness), not spending enough time with the characters or important scenes despite its decadent runtime, and the ending coming off as completely pretentious in the context of how practical/cynical everything leading up to it was.In the end, Babylon does serve its purpose as an entertaining spectacle, but like the Hollywood it critiques, its self-indulgence prevents it from achieving greatness.",positive
